month,n_early_peak,n_outlier_hour,n,rate_early_peak,rate_outlier_hour
1,42,17,216,0.19444444444444445,0.0787037037037037
2,42,21,198,0.21212121212121213,0.10606060606060606
3,46,16,215,0.21395348837209302,0.07441860465116279
4,89,22,209,0.4258373205741627,0.10526315789473684
5,85,28,213,0.39906103286384975,0.13145539906103287
6,92,43,180,0.5111111111111111,0.2388888888888889
7,72,36,185,0.3891891891891892,0.1945945945945946
8,75,31,186,0.4032258064516129,0.16666666666666666
9,74,27,180,0.4111111111111111,0.15
10,52,23,185,0.2810810810810811,0.12432432432432433
11,54,15,180,0.3,0.08333333333333333
12,54,17,186,0.2903225806451613,0.0913978494623656
